last eat in detach is 0
i inside is 0
1692318970343 4 is eating
1692318970343 4 is sleeping
1692318970343 2 is sleeping
1692318970343 1 is eating
1692318970343 3 is eating
1692318970343 4 is thinking
1692318970343 1 is sleeping
1692318970343 3 is sleeping
1692318970343 4 is eating
1692318970344 1 is thinking
1692318970344 3 is thinking
1692318970344 4 is sleeping
1692318970344 0 is eating
1692318970344 3 is eating
1692318970345 0 is sleeping
1692318970345 1 is eating
1692318970345 3 is sleeping
1692318970345 4 is thinking
1692318970345 4 is eating
1692318970345 1 is sleeping
1692318970345 0 is thinking
1692318970345 3 is thinking
1692318970345 4 is sleeping
1692318970345 0 is eating
1692318970345 3 is eating
1692318970346 1 is thinking
1692318970346 0 is sleeping
1692318970346 1 is eating
1692318970346 3 is sleeping
1692318970346 4 is thinking
1692318970346 4 is eating
1692318970346 2 is thinking
1692318970346 1 is sleeping
1692318970346 0 is thinking
1692318970346 3 is thinking
1692318970346 4 is sleeping
1692318970346 2 is eating
1692318970346 0 is eating
1692318970347 1 is thinking
1692318970347 2 is sleeping
1692318970347 0 is sleeping
1692318970347 1 is eating
1692318970347 3 is eating
1692318970347 4 is thinking
1692318970347 2 is thinking
1692318970347 1 is sleeping
1692318970347 3 is sleeping
1692318970347 0 is thinking
1692318970347 4 is eating
1692318970347 2 is eating
1692318970348 2 is sleeping
1692318970348 1 is thinking
1692318970348 3 is thinking
1692318970348 4 is sleeping
1692318970348 3 is eating
1692318970348 0 is eating
1692318970352 3 is sleeping
1692318970352 0 is sleeping
1692318970352 1 is eating
1692318970352 4 is thinking
1692318970352 4 is eating
1692318970352 2 is thinking
1692318970352 3 is thinking
1692318970352 1 is sleeping
1692318970352 0 is thinking
1692318970352 4 is sleeping
1692318970352 0 is eating
1692318970352 2 is eating
1692318970353 1 is thinking
1692318970353 0 is sleeping
1692318970353 1 is eating
1692318970353 2 is sleeping
1692318970353 4 is thinking
1692318970353 4 is eating
1692318970354 1 is sleeping
1692318970354 2 is thinking
1692318970354 0 is thinking
1692318970354 4 is sleeping
1692318970354 0 is eating
1692318970354 3 is eating
1692318970354 1 is thinking
1692318970354 0 is sleeping
1692318970354 1 is eating
1692318970354 3 is sleeping
1692318970354 4 is thinking
1692318970354 4 is eating
1692318970354 1 is sleeping
1692318970354 0 is thinking
1692318970354 3 is thinking
1692318970354 2 is eating
1692318970354 0 is eating
1692318970354 4 is sleeping
1692318970355 1 is thinking
1692318970355 2 is sleeping
1692318970355 0 is sleeping
1692318970355 1 is eating
1692318970355 3 is eating
1692318970355 4 is thinking
1692318970355 2 is thinking
1692318970355 1 is sleeping
1692318970355 3 is sleeping
1692318970355 0 is thinking
1692318970355 4 is eating
1692318970355 2 is eating
1692318970360 1 is thinking
1692318970360 3 is thinking
1692318970360 4 is sleeping
1692318970360 3 is eating
1692318970360 2 is sleeping
1692318970360 0 is eating
1692318970361 2 is thinking
1692318970361 3 is sleeping
1692318970361 0 is sleeping
1692318970361 1 is eating
1692318970361 4 is thinking
1692318970361 4 is eating
1692318970363 1 is sleeping
1692318970363 0 is thinking
1692318970363 3 is thinking
1692318970363 4 is sleeping
1692318970363 0 is eating
1692318970363 2 is eating
1692318970363 1 is thinking
1692318970363 0 is sleeping
1692318970363 1 is eating
1692318970363 2 is sleeping
1692318970363 4 is thinking
1692318970363 4 is eating
1692318970364 2 is thinking
1692318970364 1 is sleeping
